Pharmanummer;Handelsname;Mengenangabe;Mengenart
3526530;SIMVARCANA FTBL 20MG;30;ST
3526547;SIMVARCANA FTBL 40MG;30;ST
3526553;NEUPRO TRA PFL 1MG/24H;7;ST
3526576;NEUPRO TRA PFL 1MG/24H;28;ST
3526582;NEUPRO TRA PFL 3MG/24H;7;ST
3526599;NEUPRO TRA PFL 3MG/24H;28;ST
3526665;PANTOPRAZOL GEN MSR TBL 20MG;14;ST
3526671;PANTOPRAZOL GEN MSR TBL 20MG;30;ST
3526688;PANTOPRAZOL GEN MSR TBL 40MG;7;ST
3526694;PANTOPRAZOL GEN MSR TBL 40MG;14;ST
3526702;PANTOPRAZOL GEN MSR TBL 40MG;30;ST
3526872;PRIVIGEN 100MG/ML DFL  5G;1;ST
3526889;PRIVIGEN 100MG/ML DFL 10G;1;ST
3526895;PRIVIGEN 100MG/ML DFL 20G;1;ST
3526932;NEXIUM MSR GRA 10MG;28;ST
3526949;MEFENAM FTBL 500MG;10;ST
3526955;MEFENAM FTBL 500MG;30;ST
3526961;MEFENAM FTBL 500MG;60;ST
3527009;GLICLAZID RTP ER TBL 30MG;30;ST
3527015;GLICLAZID RTP ER TBL 30MG;120;ST
3527096;VENLAFAXIN G.L. TBL 50MG;30;ST
3527104;VENLAFAXIN G.L. TBL 50MG;60;ST
3527110;VENLAFAXIN G.L. TBL 75MG;30;ST
3527127;VENLAFAXIN G.L. TBL 75MG;60;ST
3527133;VENLAFAB TBL 50MG;30;ST
3527156;VENLAFAB TBL 50MG;60;ST
3527162;VENLAFAB TBL 75MG;30;ST
3527179;VENLAFAB TBL 75MG;60;ST
3527334;RISPERIDON SAN FTBL 0,25MG;20;ST
3527340;RISPERIDON SAN FTBL 0,25MG;60;ST
3527481;FIRAZYR IJLSG 30MG FSPR;1;ST
3527558;VIMPAT FTBL  50MG;14;ST
3527564;VIMPAT FTBL 100MG;14;ST
3527570;VIMPAT FTBL 100MG;56;ST
3527587;VIMPAT FTBL 150MG;14;ST
3527593;VIMPAT FTBL 150MG;56;ST
3527601;VIMPAT FTBL 200MG;56;ST
3527630;RISPERIDON SAN SCHMTBL 0,5MG;20;ST
3527647;RISPERIDON SAN SCHMTBL 0,5MG;60;ST
3527653;RISPERIDON SAN SCHMTBL 1MG;20;ST
3527676;RISPERIDON SAN SCHMTBL 1MG;60;ST
3527682;RISPERIDON SAN SCHMTBL 2MG;20;ST
3527707;RISPERIDON SAN SCHMTBL 2MG;60;ST
3528032;AMLODIBENE TBL  5MG;30;ST
3528055;AMLODIBENE TBL 10MG;30;ST
3528204;RASILEZ/HCT FTBL 150/12,5MG;28;ST
3528227;RASILEZ/HCT FTBL 150/25MG;28;ST
3528256;RASILEZ/HCT FTBL 300/12,5MG;28;ST
3528279;RASILEZ/HCT FTBL 300/25MG;28;ST
3528500;LANSOPRAZOL STAD KPS 15MG;30;ST
3528517;LANSOPRAZOL STAD KPS 30MG;30;ST
3528658;ZOMACTON TRSTAMP 4MG;1;ST
3528664;ZOMACTON TRSTAMP 4MG;5;ST
3528782;EUTHYROX TBL  88MCG;100;ST
3528925;LISINOPRIL SAN TBL  5MG;30;ST
3528931;LISINOPRIL SAN TBL 10MG;30;ST
3528948;LISINOPRIL SAN TBL 20MG;30;ST
3529132;APO-GO FSPR 5MG/ML 10ML;5;ST
3529310;GABAPENTIN GEN KPS 300MG;100;ST
3529327;GABAPENTIN GEN KPS 400MG;100;ST
3529698;ENALAPRIL +PH TBL 10MG;10;ST
3529706;ENALAPRIL +PH TBL 20MG;10;ST
3529882;XARELTO FTBL 10MG;5;ST
3529899;XARELTO FTBL 10MG;10;ST
3530477;SEVIKAR FTBL 20/ 5MG;28;ST
3530483;SEVIKAR FTBL 40/ 5MG;28;ST
3530508;SEVIKAR FTBL 40/10MG;28;ST
3530514;COLIDIMIN FTBL 200MG;36;ST
3530744;PIROXISTAD LSB TBL 20MG;10;ST
3530833;AMELIOR FTBL 20/ 5MG;28;ST
3530856;AMELIOR FTBL 40/ 5MG;28;ST
3530862;AMELIOR FTBL 40/10MG;28;ST
3530968;CISCUTAN KPS 40MG;30;ST
3531011;LOTEMAX AU-TR 0,5%;5;ML
3531034;PANTOPRAZOL STAD MSR TBL 20;30;ST
3531040;PANTOPRAZOL STAD MSR TBL 40;30;ST
3531229;FENTANYL 1A MAT PFL  37,5MCG;5;ST
3531235;FENTANYL 1A MAT PFL 150MCG;5;ST
3531241;ENALAPRILMAL.ALT TBL 10MG;10;ST
3531258;ENALAPRILMAL.ALT TBL 20MG;10;ST
3531264;ENALAPRILMAL.ALT TBL  5MG;10;ST
3531270;FENTANYL HEX MAT PFL  37,5;5;ST
3531287;FENTANYL HEX MAT PFL 150MCG;5;ST
3531376;VENLAFAB RET KPS  37,5MG;20;ST
3531382;VENLAFAB RET KPS  37,5MG;30;ST
3531399;VENLAFAB RET KPS  75MG;20;ST
3531407;VENLAFAB RET KPS  75MG;30;ST
3531413;VENLAFAB RET KPS 150MG;20;ST
3531436;VENLAFAB RET KPS 150MG;30;ST
3531442;AZARGA AU-TR 10MG/ML+5MG/ML;1;ST
3531459;CEFUROXIM HEX FTBL 250MG;14;ST
3531465;CEFUROXIM HEX FTBL 500MG;14;ST
3531488;MESAGRAN RET GRAN 1500MG BTL;30;ST
3531821;VENLAFAXIN SAN RET KPS  75MG;10;ST
3531838;VENLAFAXIN SAN RET KPS  75MG;30;ST
3531844;VENLAFAXIN SAN RET KPS 150MG;10;ST
3531850;VENLAFAXIN SAN RET KPS 150MG;30;ST
3531867;VENLAFAXIN 1A RET KPS  37,5;10;ST
3531873;VENLAFAXIN 1A RET KPS  37,5;30;ST
3531896;VENLAFAXIN 1A RET KPS  75MG;10;ST
3531904;VENLAFAXIN 1A RET KPS  75MG;30;ST
3531910;VENLAFAXIN 1A RET KPS 150MG;10;ST
3531927;VENLAFAXIN 1A RET KPS 150MG;30;ST
3531933;VENLAFAXIN HEX RET KPS  37,5;10;ST
3531956;VENLAFAXIN HEX RET KPS  37,5;30;ST
3531962;VENLAFAXIN HEX RET KPS  75MG;10;ST
3531979;VENLAFAXIN HEX RET KPS  75MG;30;ST
3531985;VENLAFAXIN HEX RET KPS 150MG;10;ST
3531991;VENLAFAXIN HEX RET KPS 150MG;30;ST
3532016;BICALUTAMID STAD FTBL 150MG;30;ST
3532163;VENLAFAXIN ACT RET KPS  75MG;20;ST
3532186;VENLAFAXIN ACT RET KPS  75MG;30;ST
3532192;VENLAFAXIN ACT RET KPS 150MG;20;ST
3532200;VENLAFAXIN ACT RET KPS 150MG;30;ST
3532393;PANTOPRAZOL STAD MSR TBL 20;14;ST
3532401;PANTOPRAZOL STAD MSR TBL 40;7;ST
3532418;PANTOPRAZOL STAD MSR TBL 40;14;ST
3532447;ALENDRONSRE SAN FTBL 70MG;4;ST
3532542;OLANZAPIN RTP TBL  2,5MG;28;ST
3532565;OLANZAPIN RTP TBL  5MG;28;ST
3532588;OLANZAPIN RTP TBL  7,5MG;28;ST
3532602;OLANZAPIN RTP TBL 10MG;28;ST
3532625;OLANZAPIN RTP TBL 15MG;28;ST
3532648;OLANZAPIN RTP TBL 20MG;28;ST
3532878;BETAHISTIN ARC TBL 16MG;30;ST
3532884;BETAHISTIN ARC TBL 16MG;60;ST
3532890;BETAHISTIN ARC TBL 24MG;20;ST
3532909;BETAHISTIN ARC TBL 24MG;60;ST
3533122;FENTANYL ACT TRA PFL  25MCG;5;ST
3533139;FENTANYL ACT TRA PFL  50MCG;5;ST
3533145;FENTANYL ACT TRA PFL  75MCG;5;ST
3533151;FENTANYL ACT TRA PFL 100MCG;5;ST
3533168;QUETIAPIN GEN FTBL  25MG;10;ST
3533174;QUETIAPIN GEN FTBL  25MG;60;ST
3533180;QUETIAPIN GEN FTBL 100MG;30;ST
3533197;QUETIAPIN GEN FTBL 100MG;60;ST
3533205;QUETIAPIN GEN FTBL 100MG;90;ST
3533211;QUETIAPIN GEN FTBL 200MG;30;ST
3533228;QUETIAPIN GEN FTBL 200MG;60;ST
3533234;QUETIAPIN GEN FTBL 300MG;30;ST
3533240;QUETIAPIN GEN FTBL 300MG;60;ST
3533263;BETAFERON PLV+LSM FSPR START;12;ST
3533300;OSVAREN FTBL;180;ST
3533381;CALC ACET MEDICE FTBL 500MG;100;ST
3533398;CALC ACET MEDICE FTBL 700MG;100;ST
3533441;TOPILEX FTBL  25MG;60;ST
3533458;TOPILEX FTBL  50MG;60;ST
3533464;TOPILEX FTBL 100MG;60;ST
3533866;GLIMEPIRID STAD TBL 1MG;30;ST
3533872;GLIMEPIRID STAD TBL 2MG;30;ST
3533889;GLIMEPIRID STAD TBL 3MG;30;ST
3533895;GLIMEPIRID STAD TBL 4MG;30;ST
3533903;GLIMEPIRID STAD TBL 6MG;30;ST
3533926;FENTANYL GEN TRA PFL  25MCG;5;ST
3533932;FENTANYL GEN TRA PFL  50MCG;5;ST
3533949;FENTANYL GEN TRA PFL 100MCG;5;ST
3533955;FENTANYL GEN TRA PFL  75MCG;5;ST
3533978;RITALIN LA KPS 40MG;30;ST
3534067;VENLAFAXIN STAD RET KPS  75;10;ST
3534073;VENLAFAXIN STAD RET KPS  75;30;ST
3534096;VENLAFAXIN STAD RET KPS 150;10;ST
3534104;VENLAFAXIN STAD RET KPS 150;30;ST
3534305;CALC ACET MEDICE FTBL 500MG;200;ST
3534334;CALC ACET MEDICE FTBL 700MG;200;ST
3534558;STIEPROX SHAMPOO 1,5%;100;ML
3534682;MIRTAZAPIN ACT SCHMTBL 15MG;30;ST
3534699;MAALOX KTBL;40;ST
3534742;PREZISTA FTBL 600MG;60;ST
3534825;ZYPADHERA PLV+LSM DFL 300MG;1;ST
3534831;ZYPADHERA PLV+LSM DFL 405MG;1;ST
3535902;CLARITHROMYCIN RTPG FTBL 250;14;ST
3535925;CLARITHROMYCIN RTPG FTBL 500;14;ST
3536310;ONDANSAN FTBL 4MG;10;ST
3536327;ONDANSAN FTBL 8MG;10;ST
3536391;VENLAFAXIN SAN TBL 50MG;30;ST
3536416;VENLAFAXIN SAN TBL 50MG;60;ST
3536592;SOLU-VOLON A IJLSG 80MG AMP;1;ST
3536793;QUETIAPIN +PH FTBL  25MG;10;ST
3536801;QUETIAPIN +PH FTBL  25MG;60;ST
3536818;QUETIAPIN +PH FTBL 100MG;30;ST
3536824;QUETIAPIN +PH FTBL 100MG;60;ST
3536830;QUETIAPIN +PH FTBL 100MG;90;ST
3536847;QUETIAPIN +PH FTBL 200MG;30;ST
3536853;QUETIAPIN +PH FTBL 200MG;60;ST
3536876;QUETIAPIN +PH FTBL 300MG;30;ST
3536882;QUETIAPIN +PH FTBL 300MG;60;ST
3536936;ROACTEMRA DFL  80MG;1;ST
3536942;ROACTEMRA DFL 200MG;1;ST
3536959;ROACTEMRA DFL 400MG;1;ST
3537137;VENLAFAXIN HEX TBL 50MG;30;ST
3537143;VENLAFAXIN HEX TBL 50MG;60;ST
3537261;HUMALOG KWIKPEN 100E/ML 3ML;5;ST
3537278;HUMALOG MIX25 KWIKPEN 3ML;5;ST
3537284;HUMALOG MIX50 KWIKPEN 3ML;5;ST
3537539;DOXAZOSIN GEN TBL 8MG;30;ST
3537628;PRADAXA HARTKPS 150MG;60;ST
3537634;FINASTERID +PH FTBL 5MG;30;ST
3537686;FIRMAGON PLV IJLSG DFL  80MG;1;ST
3537692;FIRMAGON PLV IJLSG DFL 120MG;2;ST
3537723;KUVAN TBL HERST.LSG 100MG;30;ST
3537746;KUVAN TBL HERST.LSG 100MG;120;ST
3537752;BICALUTAMID +PH FTBL  50MG;30;ST
3537769;BICALUTAMID +PH FTBL 150MG;30;ST
3537798;GLICLADA ER TBL 30MG;30;ST
3537806;GLICLADA ER TBL 30MG;120;ST
3537864;RISPERIDON +PH FTBL 1MG;10;ST
3537870;RISPERIDON +PH FTBL 1MG;60;ST
3537887;RISPERIDON +PH FTBL 2MG;10;ST
3537893;RISPERIDON +PH FTBL 2MG;60;ST
3537901;RISPERIDON +PH FTBL 3MG;10;ST
3537918;RISPERIDON +PH FTBL 3MG;60;ST
3537924;RISPERIDON +PH FTBL 4MG;10;ST
3537930;RISPERIDON +PH FTBL 4MG;60;ST
3538065;FOSAMAX TBL 70MG 1XWOECHENTL;4;ST
3538088;LISINOPRIL G.L./HCT 10/12,5;30;ST
3538094;LISINOPRIL G.L./HCT 20/12,5;30;ST
3538102;LISINOPRIL G.L./HCT 20/25MG;30;ST
3538131;CLINDAC SAN FTBL 450MG;12;ST
3538148;CLINDAC SAN FTBL 450MG;30;ST
3538154;CLINDAC SAN FTBL 600MG;12;ST
3538160;CLINDAC SAN FTBL 600MG;30;ST
3538214;URIVESC RETKPS 60MG;7;ST
3538220;URIVESC RETKPS 60MG;28;ST
3538237;TEMODAL HARTKPS BTL  20MG;5;ST
3538243;TEMODAL HARTKPS BTL  20MG;20;ST
3538266;TEMODAL HARTKPS BTL 100MG;5;ST
3538272;TEMODAL HARTKPS BTL 100MG;20;ST
3538289;TEMODAL HARTKPS BTL 140MG;5;ST
3538295;TEMODAL HARTKPS BTL 140MG;20;ST
3538303;TEMODAL HARTKPS BTL 180MG;5;ST
3538326;TEMODAL HARTKPS BTL 180MG;20;ST
3538332;TEMODAL HARTKPS BTL 250MG;5;ST
3538355;EFIENT FTBL  5MG;28;ST
3538378;EFIENT FTBL 10MG;28;ST
3538421;RISEDRONAT STA 35MG+KTBL;4;ST
3538504;SINGULAIR GRAN 4MG;28;ST
3538527;AMLODIPIN ACT TBL  5MG;30;ST
3538533;AMLODIPIN ACT TBL 10MG;30;ST
3538616;LOSARTAN/HCT STAD 100/25MG;30;ST
3538757;OXYCODON HCL RTP RETTBL 20MG;10;ST
3538763;OXYCODON HCL RTP RETTBL 20MG;30;ST
3538786;OXYCODON HCL RTP RETTBL 40MG;10;ST
3538792;OXYCODON HCL RTP RETTBL 40MG;30;ST
3538800;OXYCODON HCL RTP RETTBL 80MG;10;ST
3538817;OXYCODON HCL RTP RETTBL 80MG;30;ST
3538823;XOLAIR IJLSG  75MG;1;ST
3538846;XOLAIR IJLSG 150MG;1;ST
3538881;OMEPRAZOL ALT MSR KPS 20MG;30;ST
3538898;OMEPRAZOL ALT MSR KPS 40MG;30;ST
3538912;NEBIVOLOL G.L.TBL 5MG;10;ST
3538929;NEBIVOLOL G.L.TBL 5MG;30;ST
3539225;PANTOPRAZOL G.L.MSR TBL 20MG;14;ST
3539231;PANTOPRAZOL G.L.MSR TBL 20MG;30;ST
3539254;PANTOPRAZOL G.L.MSR TBL 40MG;14;ST
3539260;PANTOPRAZOL G.L.MSR TBL 40MG;30;ST
3539389;OLANZAPIN RTP TBL  2,5MG;7;ST
3539395;OLANZAPIN RTP TBL  5MG;7;ST
3539403;OLANZAPIN RTP TBL  7,5MG;7;ST
3539426;OLANZAPIN RTP TBL 10MG;7;ST
3539432;OLANZAPIN RTP TBL 15MG;7;ST
3539449;OLANZAPIN RTP TBL 20MG;7;ST
3539544;BISOPROLOL SAN FTBL  1,25MG;20;ST
3539550;BISOPROLOL SAN FTBL  2,5MG;7;ST
3539567;BISOPROLOL SAN FTBL  2,5MG;30;ST
3539685;REBIF 22MCG PATR REBISMART;4;ST
3539691;REBIF 44MCG PATR REBISMART;4;ST
3539716;BISOPROLOL 1A FTBL  5MG;20;ST
3539722;REBIF STARTP PATR REBISMART;2;ST
3539805;BISOPROLOL 1A FTBL  5MG;30;ST
3539811;BISOPROLOL 1A FTBL 10MG;20;ST
3539828;BISOPROLOL 1A FTBL 10MG;30;ST
3539840;TOPILEX FTBL 200MG;60;ST
3539886;PANTIP MSR TBL 20MG;14;ST
3539892;PANTIP MSR TBL 20MG;30;ST
3539917;PANTIP MSR TBL 40MG;14;ST
3539923;PANTIP MSR TBL 40MG;30;ST
3540027;ZARZIO FSPR 30MIO/0,5ML;5;ST
3540033;ZARZIO FSPR 48MIO/0,5ML;5;ST
3540056;MULTAQ FTBL 400MG;20;ST
3540174;SIFROL RET TBL 3,15MG;30;ST
3540180;SIFROL RET TBL 2,1MG;30;ST
3540197;SIFROL RET TBL 2,1MG;10;ST
3540205;SIFROL RET TBL 1,05MG;10;ST
3540211;SIFROL RET TBL 1,05MG;30;ST
3540228;SIFROL RET TBL 0,52MG;10;ST
3540234;SIFROL RET TBL 0,52MG;30;ST
3540240;SIFROL RET TBL 0,26MG;10;ST
3540501;LISINOPRIL ACT TBL  5MG;10;ST
3540518;LISINOPRIL ACT TBL 10MG;10;ST
3540524;LISINOPRIL ACT TBL 20MG;10;ST
3540530;LISINOPRIL ACT TBL  5MG;30;ST
3540547;LISINOPRIL ACT TBL 10MG;30;ST
3540553;LISINOPRIL ACT TBL 20MG;30;ST
3540642;QUETIAPIN G.L. FTBL  25MG;60;ST
3540659;QUETIAPIN G.L. FTBL 100MG;30;ST
3540665;QUETIAPIN G.L. FTBL 100MG;60;ST
3540671;QUETIAPIN G.L. FTBL 100MG;90;ST
3540688;QUETIAPIN G.L. FTBL 200MG;30;ST
3540694;QUETIAPIN G.L. FTBL 200MG;60;ST
3540702;QUETIAPIN G.L. FTBL 300MG;30;ST
3540719;QUETIAPIN G.L. FTBL 300MG;60;ST
3540725;PANTOPRAZOL ALT MSR TBL 20MG;30;ST
3540731;PANTOPRAZOL ALT MSR TBL 40MG;30;ST
3540949;CLINDAC SAN KPS 150MG;16;ST
3540955;CLINDAC SAN KPS 300MG;16;ST
3541050;HAEMONINE IJLSG 1000IE;1;ST
3541162;INDAPAMID ACT RET TBL 1,5MG;10;ST
3541179;INDAPAMID ACT RET TBL 1,5MG;30;ST
3541185;MIRTAZAPIN BLU SCHMTBL 15MG;30;ST
3541191;MIRTAZAPIN BLU SCHMTBL 30MG;30;ST
3541216;MIRTAZAPIN BLU SCHMTBL 45MG;30;ST
3541222;BETAHISTIN ACT TBL  8MG;30;ST
3541239;BETAHISTIN ACT TBL  8MG;100;ST
3541245;BETAHISTIN ACT TBL 16MG;30;ST
3541268;CITALOPRAM ACT FTBL 10MG;10;ST
3541274;CITALOPRAM ACT FTBL 10MG;30;ST
3541280;CITALOPRAM ACT FTBL 20MG;10;ST
3541297;CITALOPRAM ACT FTBL 20MG;30;ST
3541328;CITALOPRAM ACT FTBL 40MG;10;ST
3541334;CITALOPRAM ACT FTBL 40MG;30;ST
3541423;GLIMEPIRID ACT TBL 1MG;30;ST
3541446;GLIMEPIRID ACT TBL 2MG;30;ST
3541452;GLIMEPIRID ACT TBL 3MG;30;ST
3541469;GLIMEPIRID ACT TBL 4MG;30;ST
3541481;AMLODINOVA TBL  5MG;30;ST
3541498;ZANIPRIL FTBL 10/10MG;28;ST
3541506;ZANIPRIL FTBL 20/10MG;28;ST
3541512;METFORMIN BLU FTBL  850MG;100;ST
3541529;METFORMIN BLU FTBL 1000MG;60;ST
3541535;SIMVASTATIN BLU FTBL 20MG;30;ST
3541541;SIMVASTATIN BLU FTBL 40MG;30;ST
3541564;PANTOPRAZOL BLU MSR TBL 20MG;14;ST
3541570;PANTOPRAZOL BLU MSR TBL 20MG;28;ST
3541587;PANTOPRAZOL BLU MSR TBL 40MG;7;ST
3541593;PANTOPRAZOL BLU MSR TBL 40MG;14;ST
3541601;PANTOPRAZOL BLU MSR TBL 40MG;28;ST
3541618;VENLAFAXIN BLU RET HKPS  75;30;ST
3541624;VENLAFAXIN BLU RET HKPS 150;30;ST
3541630;BICALUTAMID BLU FTBL  50MG;30;ST
3541647;BICALUTAMID BLU FTBL 150MG;30;ST
3541653;VALACICLOVIR BLU FTBL 500MG;10;ST
3541676;VALACICLOVIR BLU FTBL 500MG;30;ST
3541682;VALACICLOVIR BLU FTBL 500MG;42;ST
3541794;PANTOPRAZOL ALT MSR TBL 20MG;14;ST
3541819;PANTOPRAZOL ALT MSR TBL 40MG;14;ST
3541848;BRIMONIDIN ARC AU-TR 5ML;1;ST
3541908;RANEXA RET TBL 375MG;30;ST
3541914;RANEXA RET TBL 375MG;60;ST
3541937;RANEXA RET TBL 500MG;30;ST
3541943;RANEXA RET TBL 500MG;60;ST
3541972;RANEXA RET TBL 750MG;30;ST
3541989;RANEXA RET TBL 750MG;60;ST
3542026;TOPIRAMAT RTP FTBL  25MG;60;ST
3542032;TOPIRAMAT RTP FTBL  50MG;60;ST
3542049;TOPIRAMAT RTP FTBL 100MG;60;ST
3542055;TOPIRAMAT RTP FTBL 200MG;60;ST
3542121;GLICLADA ER TBL 30MG;60;ST
3542138;GLICLADA ER TBL 30MG;90;ST
3542144;PANTOPRAZOL ALT MSR TBL 20MG;7;ST
3542150;PANTOPRAZOL ALT MSR TBL 40MG;7;ST
3542167;GASTROZOL MSR TBL 20MG;14;ST
3542173;GASTROZOL MSR TBL 20MG;30;ST
3542196;GASTROZOL MSR TBL 40MG;7;ST
3542204;GASTROZOL MSR TBL 40MG;14;ST
3542210;GASTROZOL MSR TBL 40MG;30;ST
3542279;TOCTINO WKPS 10MG;30;ST
3542285;TOCTINO WKPS 30MG;30;ST
3542523;GAMMANORM 165MG/ML DFL 10ML;1;ST
3542546;GAMMANORM 165MG/ML DFL 10ML;10;ST
3542552;GAMMANORM 165MG/ML DFL 10ML;20;ST
3542569;GAMMANORM 165MG/ML DFL 20ML;10;ST
3542641;OCTAGAM 100MG/ML  2G/ 20ML;1;ST
3542658;OCTAGAM 100MG/ML  5G/ 50ML;1;ST
3542664;OCTAGAM 100MG/ML 10G/100ML;1;ST
3542670;OCTAGAM 100MG/ML 20G/200ML;1;ST
3542724;ZOMACTON PLV+LSM 10MG/ML;1;ST
3542747;ZOMACTON PLV+LSM 10MG/ML;5;ST
3542753;VICTOZA PEN 6MG/ML;2;ST
3542799;PRIVIGEN 100MG/ML DFL  2,5G;1;ST
3542871;LEVOCETIRIZIN ACT FTBL 5MG;10;ST
3542888;LEVOCETIRIZIN ACT FTBL 5MG;30;ST
3542948;LOSARTAN-KAL ACT FTBL  12,5;30;ST
3542960;LOSARTAN-KAL ACT FTBL  50MG;30;ST
3542983;LOSARTAN-KAL ACT FTBL 100MG;30;ST
3543014;TOPIRAMAT STAD FTBL  25MG;60;ST
3543037;TOPIRAMAT STAD FTBL  50MG;60;ST
3543066;TOPIRAMAT STAD FTBL 100MG;60;ST
3543089;TOPIRAMAT STAD FTBL 200MG;60;ST
3543267;BLOPRESS TBL PLUS 32/12,5MG;28;ST
3543273;BLOPRESS TBL PLUS 32/25MG;28;ST
3543304;LOSARTAN GEN FTBL 12,5MG;30;ST
3543327;LOSARTAN GEN FTBL  50MG;30;ST
3543356;LOSARTAN GEN FTBL 100MG;30;ST
3543422;TOPIRAMAT 1A FTBL  25MG;60;ST
3543445;TOPIRAMAT 1A FTBL  50MG;60;ST
3543451;TOPIRAMAT 1A FTBL 100MG;60;ST
3543468;TOPIRAMAT 1A FTBL 200MG;60;ST
3543474;QUETIAPIN EASY FTBL  25MG;6;ST
3543480;QUETIAPIN EASY FTBL  25MG;60;ST
3543497;QUETIAPIN EASY FTBL 100MG;30;ST
3543505;QUETIAPIN EASY FTBL 100MG;60;ST
3543511;QUETIAPIN EASY FTBL 100MG;90;ST
3543528;QUETIAPIN EASY FTBL 200MG;30;ST
3543534;QUETIAPIN EASY FTBL 200MG;60;ST
3543540;QUETIAPIN EASY FTBL 300MG;30;ST
3543557;QUETIAPIN EASY FTBL 300MG;60;ST
3543563;PAROXETIN EASY FTBL 20MG;10;ST
3543586;PAROXETIN EASY FTBL 20MG;30;ST
3543592;BETAHISTIN ACT TBL 16MG;60;ST
3543735;NOMEXOR PL HCT FTBL 5/12,5MG;28;ST
3543741;NOMEXOR PL HCT FTBL 5/25MG;28;ST
3543824;LOSARTAN STAD FTBL  50MG;30;ST
3543847;LOSARTAN STAD FTBL 100MG;30;ST
3543882;TEMODAL HARTKPS BTL   5MG;5;ST
3543899;TEMODAL HARTKPS BTL   5MG;20;ST
3544077;AFINITOR TBL  5MG;30;ST
3544083;AFINITOR TBL 10MG;30;ST
3544108;METFORMIN BLU FTBL 1000MG;20;ST
3544114;METFORMIN BLU FTBL  850MG;30;ST
3544137;TOPIRAMAT SAN FTBL  25MG;60;ST
3544166;TOPIRAMAT SAN FTBL  50MG;60;ST
3544189;TOPIRAMAT SAN FTBL 100MG;60;ST
3544226;TOPIRAMAT SAN FTBL 200MG;60;ST
3544315;ESOMEPRAZOL 1A MSR TBL 20MG;14;ST
3544321;ESOMEPRAZOL 1A MSR TBL 20MG;30;ST
3544338;ESOMEPRAZOL 1A MSR TBL 40MG;14;ST
3544344;ESOMEPRAZOL 1A MSR TBL 40MG;30;ST
3544410;ESOMEPRAZOL SAN MSR TBL 20MG;7;ST
3544427;ESOMEPRAZOL SAN MSR TBL 20MG;14;ST
3544433;ESOMEPRAZOL SAN MSR TBL 20MG;30;ST
3544456;ESOMEPRAZOL SAN MSR TBL 40MG;14;ST
3544462;ESOMEPRAZOL SAN MSR TBL 40MG;30;ST
3544522;CARVEDILOL RTP TBL  6,25MG;10;ST
3544539;CARVEDILOL RTP TBL  6,25MG;30;ST
3544545;CARVEDILOL RTP TBL 12,5MG;10;ST
3544551;CARVEDILOL RTP TBL 12,5MG;30;ST
3544568;CARVEDILOL RTP TBL 25MG;10;ST
3544574;CARVEDILOL RTP TBL 25MG;30;ST
3544634;BERINERT  500 I.E.;1;ST
3544663;NEBILAN TBL 5MG;10;ST
3544686;NEBILAN TBL 5MG;30;ST
3544692;RENVELA FTBL 800MG;180;ST
3544700;RENVELA PLV 2,4G BTL;60;ST
3544723;ENBREL IJLSG FPEN 50MG;4;ST
3544806;ZANIDIP FTBL 20MG;28;ST
3544870;DOXAZOSIN ACT RET TBL 4MG;10;ST
3544887;DOXAZOSIN ACT RET TBL 4MG;30;ST
3544893;GRANISETRON ACT FTBL 2MG;5;ST
3544918;SIMPONI IJLSG  50MG INJEKTOR;1;ST
3544930;SIMPONI IJLSG  50MG FSPR;1;ST
3545065;METOPROLOLTAR.HEX TBL  50MG;20;ST
3545088;METOPROLOLTAR.HEX TBL 100MG;20;ST
3545160;SAFLUTAN AU-TR 15MCG/ML;30;ST
3545183;INDAPAMID RTP RET TBL 1,5MG;10;ST
3545208;INDAPAMID RTP RET TBL 1,5MG;30;ST
3545378;LORANO SCHMTBL 10MG;10;ST
3545384;LORANO SCHMTBL 10MG;30;ST
3545390;TIZANIDIN ACT TBL 2MG;10;ST
3545409;TIZANIDIN ACT TBL 2MG;60;ST
3545415;TIZANIDIN ACT TBL 4MG;10;ST
3545421;TIZANIDIN ACT TBL 4MG;60;ST
3545450;VENLAFAXIN EASY ER KPS  75MG;10;ST
3545467;VENLAFAXIN EASY ER KPS  75MG;30;ST
3545473;VENLAFAXIN EASY ER KPS 150MG;10;ST
3545496;VENLAFAXIN EASY ER KPS 150MG;30;ST
3545504;EXFORGE HCT FTBL  5/160/12,5;28;ST
3545527;EXFORGE HCT FTBL  5/160/25;28;ST
3545556;EXFORGE HCT FTBL 10/160/12,5;28;ST
3545579;EXFORGE HCT FTBL 10/160/25;28;ST
3545591;RAMIPRIL ACT TBL  2,5MG;10;ST
3545616;RAMIPRIL ACT TBL  2,5MG;30;ST
3545622;RAMIPRIL ACT TBL  5MG;30;ST
3545639;RAMIPRIL ACT TBL 10MG;30;ST
3545668;FOSINOPRIL ACT TBL 10MG;10;ST
3545674;FOSINOPRIL ACT TBL 10MG;30;ST
3545680;FOSINOPRIL ACT TBL 20MG;10;ST
3545697;FOSINOPRIL ACT TBL 20MG;30;ST
3545705;ONGLYZA FTBL 5MG;14;ST
3545711;ONGLYZA FTBL 5MG;28;ST
3545734;ALENDRONSRE ARC 70MG TBL;4;ST
3545763;GLIMEPIRID RTP TBL 4MG;30;ST
3545786;GLIMEPIRID RTP TBL 6MG;30;ST
